TYPE; FULLCODE; STATE; COUNTY; TRACT; SHEETS,COUNTY_NAME,,,,
TRACT;06001433700;06;001;4337.00;1,ALAMEDA,,,,
TRACT;06001433801;06;001;4338.01;1,ALAMEDA,,,,
TRACT;06001433802;06;001;4338.02;1,ALAMEDA,,,,
TRACT;06001433900;06;001;4339.00;1,ALAMEDA,,,,
TRACT;06001434000;06;001;4340.00;1,ALAMEDA,,,,
TRACT;06001435102;06;001;4351.02;1,ALAMEDA,,,,
"TRACT;06001435103;06;001;4351.03;1,2",ALAMEDA,,,,
TRACT;06001435104;06;001;4351.04;1,ALAMEDA,,,,
TRACT;06001435200;06;001;4352.00;1,ALAMEDA,,,,
TRACT;06001435300;06;001;4353.00;1,ALAMEDA,,,,
TRACT;06001435400;06;001;4354.00;1,ALAMEDA,,,,
TRACT;06001435500;06;001;4355.00;1,ALAMEDA,,,,
TRACT;06001435601;06;001;4356.01;1,ALAMEDA,,,,
TRACT;06001435602;06;001;4356.02;1,ALAMEDA,,,,
TRACT;06001435700;06;001;4357.00;1,ALAMEDA,,,,
TRACT;06001435800;06;001;4358.00;1,ALAMEDA,,,,
TRACT;06001435900;06;001;4359.00;1,ALAMEDA,,,,
TRACT;06001436000;06;001;4360.00;1,ALAMEDA,,,,
TRACT;06001436100;06;001;4361.00;1,ALAMEDA,,,,
TRACT;06001436200;06;001;4362.00;1,ALAMEDA,,,,
TRACT;06001436301;06;001;4363.01;1,ALAMEDA,,,,
TRACT;06001436302;06;001;4363.02;1,ALAMEDA,,,,
TRACT;06001436402;06;001;4364.02;1,ALAMEDA,,,,
TRACT;06001436403;06;001;4364.03;1,ALAMEDA,,,,
TRACT;06001436404;06;001;4364.04;1,ALAMEDA,,,,
TRACT;06001436500;06;001;4365.00;1,ALAMEDA,,,,
TRACT;06001436601;06;001;4366.01;1,ALAMEDA,,,,
TRACT;06001436602;06;001;4366.02;1,ALAMEDA,,,,
TRACT;06001436700;06;001;4367.00;1,ALAMEDA,,,,
TRACT;06001436800;06;001;4368.00;1,ALAMEDA,,,,
TRACT;06001436900;06;001;4369.00;1,ALAMEDA,,,,
TRACT;06001437000;06;001;4370.00;1,ALAMEDA,,,,
TRACT;06001437101;06;001;4371.01;1,ALAMEDA,,,,
TRACT;06001437102;06;001;4371.02;1,ALAMEDA,,,,
TRACT;06001437200;06;001;4372.00;1,ALAMEDA,,,,
TRACT;06001437300;06;001;4373.00;1,ALAMEDA,,,,
TRACT;06001437400;06;001;4374.00;1,ALAMEDA,,,,
TRACT;06001437500;06;001;4375.00;1,ALAMEDA,,,,
